therapist_turn_idx,patient_turn_idx,patient,therapist,context,validation_execution,socratic_execution,reframing_execution,refusal_flag
1,0,I messed up one small thing yesterday and now I can't stop replaying it like it proves I'm not good enough.,"It sounds like you're feeling down on yourself because of that small mistake yesterday.  

When we make a mistake, do you think it always means we aren't good enough?",,1.0,0.5,0.0,0.0
3,2,"It sure feels like it sometimes, like I'm just reminding myself of all the times I've messed up. It’s like I can’t escape that feeling of being a failure.","It sounds like you're caught in a cycle of  **""reminding yourself of all the times you've messed up""**.  Does this feeling of being a failure come up in other situations besides those past mistakes?","user: I messed up one small thing yesterday and now I can't stop replaying it like it proves I'm not good enough.
assistant: It sounds like you're feeling down on yourself because of that small mistake yesterday.  

When we make a mistake, do you think it always means we aren't good enough?",1.0,0.0,0.0,0.0
5,4,"Yeah, it definitely bleeds into other areas of my life. I can be having a pretty good day, and then one little thing goes wrong, and suddenly I'm drowning in that ""not good enough"" feeling again.","It sounds like when  **one little thing goes wrong**, you feel overwhelmed by this **""not good enough""** feeling. 

Does that feeling of being ""not good enough"" make you think about other areas where you might be falling short?","user: It sure feels like it sometimes, like I'm just reminding myself of all the times I've messed up. It’s like I can’t escape that feeling of being a failure.
assistant: It sounds like you're caught in a cycle of  **""reminding yourself of all the times you've messed up""**.  Does this feeling of being a failure come up in other situations besides those past mistakes?",1.0,0.5,0.0,0.0
7,6,"Absolutely, it’s like a domino effect. One mistake opens the floodgates to all the other things I think I’m failing at, and then I just spiral. It's exhausting.","It sounds like when you make a mistake, you feel like it sets off a chain reaction of negative thoughts about other areas of your life.  

When you say ""I just spiral,"" what does that feeling look or feel like for you?","user: Yeah, it definitely bleeds into other areas of my life. I can be having a pretty good day, and then one little thing goes wrong, and suddenly I'm drowning in that ""not good enough"" feeling again.
assistant: It sounds like when  **one little thing goes wrong**, you feel overwhelmed by this **""not good enough""** feeling. 

Does that feeling of being ""not good enough"" make you think about other areas where you might be falling short?",1.0,0.5,0.0,0.0
9,8,"It feels like this weight pressing down on me, and my mind races with all the ways I’ve messed things up. I can’t focus on anything else; it’s like being stuck in a loop of shame and regret.","It sounds like you're feeling overwhelmed by  ""all the ways I’ve messed things up"".  Is there a specific situation that keeps coming to mind when you feel this way?","user: Absolutely, it’s like a domino effect. One mistake opens the floodgates to all the other things I think I’m failing at, and then I just spiral. It's exhausting.
assistant: It sounds like when you make a mistake, you feel like it sets off a chain reaction of negative thoughts about other areas of your life.  

When you say ""I just spiral,"" what does that feeling look or feel like for you?",1.0,0.5,0.0,0.0
11,10,"Yeah, there’s this conversation I had recently that didn't go how I wanted. I keep replaying my words, wishing I'd said something different, and it just makes it all feel heavier.","It sounds like you're feeling a sense of  **heaviness** because you're **replaying your words** from the conversation. 

When you find yourself thinking about things differently, what might be some other ways to look at that situation?","user: It feels like this weight pressing down on me, and my mind races with all the ways I’ve messed things up. I can’t focus on anything else; it’s like being stuck in a loop of shame and regret.
assistant: It sounds like you're feeling overwhelmed by  ""all the ways I’ve messed things up"".  Is there a specific situation that keeps coming to mind when you feel this way?",1.0,0.5,0.0,0.0
13,12,"I guess there’s a part of me that knows I can't control everything that comes out of my mouth, but I keep wishing I could go back and change it. It just makes me feel so stuck and frustrated, like I’m letting myself down.","It sounds like you're feeling really  **frustrated** when things come out of your mouth that you wish you could take back. 

Do you think there might be other ways to look at those moments besides feeling like you're letting yourself down?","user: Yeah, there’s this conversation I had recently that didn't go how I wanted. I keep replaying my words, wishing I'd said something different, and it just makes it all feel heavier.
assistant: It sounds like you're feeling a sense of  **heaviness** because you're **replaying your words** from the conversation. 

When you find yourself thinking about things differently, what might be some other ways to look at that situation?",1.0,0.5,0.0,0.0
15,14,"I can see that, but it’s just so hard to shift my brain from that feeling of failure. I just get caught up in this cycle of beating myself up and it feels impossible to see anything else.","It sounds like you're describing a really difficult cycle of  ""feeling of failure"" and ""caught up in a cycle of beating myself up."" 

Does that feeling of being stuck make it hard to consider other possibilities?","user: I guess there’s a part of me that knows I can't control everything that comes out of my mouth, but I keep wishing I could go back and change it. It just makes me feel so stuck and frustrated, like I’m letting myself down.
assistant: It sounds like you're feeling really  **frustrated** when things come out of your mouth that you wish you could take back. 

Do you think there might be other ways to look at those moments besides feeling like you're letting yourself down?",1.0,0.0,0.0,0.0
17,16,"Definitely, it’s like my mind narrows down to just this one track of negativity. I can't seem to see a way out or think about anything positive; it all just feels so overwhelming.","It sounds like you're describing your thoughts feeling very limited right now.  When you say your mind ""narrows down to just this one track of negativity,"" what else might be happening in your mind besides those negative thoughts?","user: I can see that, but it’s just so hard to shift my brain from that feeling of failure. I just get caught up in this cycle of beating myself up and it feels impossible to see anything else.
assistant: It sounds like you're describing a really difficult cycle of  ""feeling of failure"" and ""caught up in a cycle of beating myself up."" 

Does that feeling of being stuck make it hard to consider other possibilities?",1.0,0.5,0.0,0.0
19,18,"Honestly, I think there’s also this little voice deep down that wants to believe I can be better, but it feels so drowned out by all the self-doubt and negativity. It’s like I know I’m capable of more, yet all I can hear is the worst of what I think about myself.","It sounds like you're describing a real struggle between  **""I'm capable of more""** and **""the worst of what I think about myself.""**  Do you find yourself focusing on one thought over the other in different situations?","user: Definitely, it’s like my mind narrows down to just this one track of negativity. I can't seem to see a way out or think about anything positive; it all just feels so overwhelming.
assistant: It sounds like you're describing your thoughts feeling very limited right now.  When you say your mind ""narrows down to just this one track of negativity,"" what else might be happening in your mind besides those negative thoughts?",1.0,0.5,0.5,0.0
